epoch: 0	train ppl: 419.7328756121745	val ppl: 244.6978575596198	best val: 244.6978575596198	time (s) spent in epoch: 410.0929844379425
epoch: 1	train ppl: 225.38316832258073	val ppl: 197.72567015458245	best val: 197.72567015458245	time (s) spent in epoch: 410.99961042404175
epoch: 2	train ppl: 173.28475093034956	val ppl: 160.76781282818283	best val: 160.76781282818283	time (s) spent in epoch: 411.33577036857605
epoch: 3	train ppl: 143.3808505993899	val ppl: 146.80617327469298	best val: 146.80617327469298	time (s) spent in epoch: 411.89890933036804
epoch: 4	train ppl: 122.86172189847048	val ppl: 136.6179326144402	best val: 136.6179326144402	time (s) spent in epoch: 411.81519961357117
epoch: 5	train ppl: 107.60604176616383	val ppl: 131.3649370773246	best val: 131.3649370773246	time (s) spent in epoch: 412.466117143631
epoch: 6	train ppl: 95.73768670842207	val ppl: 128.41387806021342	best val: 128.41387806021342	time (s) spent in epoch: 411.95910358428955
epoch: 7	train ppl: 85.76712270045276	val ppl: 127.71297512649494	best val: 127.71297512649494	time (s) spent in epoch: 411.12601351737976
epoch: 8	train ppl: 77.55047050835756	val ppl: 128.2981941023914	best val: 127.71297512649494	time (s) spent in epoch: 412.5468349456787
epoch: 9	train ppl: 70.641056247471	val ppl: 125.2372744667219	best val: 125.2372744667219	time (s) spent in epoch: 410.3598093986511
epoch: 10	train ppl: 64.80380257744578	val ppl: 127.81019188258412	best val: 125.2372744667219	time (s) spent in epoch: 408.1180799007416
epoch: 11	train ppl: 59.573572083781755	val ppl: 128.24972785930407	best val: 125.2372744667219	time (s) spent in epoch: 411.9677858352661
epoch: 12	train ppl: 55.20532809197253	val ppl: 129.72849999345215	best val: 125.2372744667219	time (s) spent in epoch: 410.86826944351196
epoch: 13	train ppl: 51.59450955535692	val ppl: 132.47211799366508	best val: 125.2372744667219	time (s) spent in epoch: 412.1706705093384
epoch: 14	train ppl: 48.50390695974293	val ppl: 137.07019826640115	best val: 125.2372744667219	time (s) spent in epoch: 412.42024850845337
epoch: 15	train ppl: 42.908641493968354	val ppl: 134.4634698447504	best val: 125.2372744667219	time (s) spent in epoch: 410.235759973526
epoch: 16	train ppl: 36.18141540688106	val ppl: 139.66483213653927	best val: 125.2372744667219	time (s) spent in epoch: 411.84387850761414
epoch: 17	train ppl: 30.568359611851946	val ppl: 139.04678108916838	best val: 125.2372744667219	time (s) spent in epoch: 409.4566605091095
epoch: 18	train ppl: 26.858712270324492	val ppl: 138.38613345414933	best val: 125.2372744667219	time (s) spent in epoch: 411.4340546131134
epoch: 19	train ppl: 25.09167537369069	val ppl: 136.18458157230177	best val: 125.2372744667219	time (s) spent in epoch: 409.50000262260437
epoch: 20	train ppl: 24.533422414369596	val ppl: 133.32852962879787	best val: 125.2372744667219	time (s) spent in epoch: 411.57252311706543
epoch: 21	train ppl: 24.51173933623127	val ppl: 132.8849028090676	best val: 125.2372744667219	time (s) spent in epoch: 410.7385358810425
epoch: 22	train ppl: 24.622417456184397	val ppl: 132.3528550991779	best val: 125.2372744667219	time (s) spent in epoch: 410.2770435810089
epoch: 23	train ppl: 24.617434875176833	val ppl: 132.1013132034561	best val: 125.2372744667219	time (s) spent in epoch: 410.09897685050964
epoch: 24	train ppl: 24.664340628530855	val ppl: 131.9873919423946	best val: 125.2372744667219	time (s) spent in epoch: 411.2138545513153
epoch: 25	train ppl: 24.633368684257416	val ppl: 131.96304597441838	best val: 125.2372744667219	time (s) spent in epoch: 410.5189793109894
epoch: 26	train ppl: 24.662972656073524	val ppl: 131.95933003876107	best val: 125.2372744667219	time (s) spent in epoch: 410.71348571777344
epoch: 27	train ppl: 24.60560895934332	val ppl: 131.95892428790498	best val: 125.2372744667219	time (s) spent in epoch: 411.70310735702515
epoch: 28	train ppl: 24.63289253673205	val ppl: 131.95898550097579	best val: 125.2372744667219	time (s) spent in epoch: 409.3905508518219
epoch: 29	train ppl: 24.636988912381206	val ppl: 131.9589820812504	best val: 125.2372744667219	time (s) spent in epoch: 411.3348476886749
epoch: 30	train ppl: 24.633978624644733	val ppl: 131.95898550097579	best val: 125.2372744667219	time (s) spent in epoch: 410.3752806186676
epoch: 31	train ppl: 24.72467477944101	val ppl: 131.95898584294824	best val: 125.2372744667219	time (s) spent in epoch: 412.0625014305115
epoch: 32	train ppl: 24.63220648181109	val ppl: 131.95898481703063	best val: 125.2372744667219	time (s) spent in epoch: 411.73475098609924
epoch: 33	train ppl: 24.705777476152495	val ppl: 131.95898481703063	best val: 125.2372744667219	time (s) spent in epoch: 411.17992520332336
epoch: 34	train ppl: 24.65995509589052	val ppl: 131.95898481703063	best val: 125.2372744667219	time (s) spent in epoch: 409.96951818466187
epoch: 35	train ppl: 24.70857438354391	val ppl: 131.95898481703063	best val: 125.2372744667219	time (s) spent in epoch: 408.9744508266449
epoch: 36	train ppl: 24.679088516851508	val ppl: 131.95898481703063	best val: 125.2372744667219	time (s) spent in epoch: 411.020516872406
epoch: 37	train ppl: 24.689452876237162	val ppl: 131.95898481703063	best val: 125.2372744667219	time (s) spent in epoch: 411.4176015853882
epoch: 38	train ppl: 24.637394840483545	val ppl: 131.95898481703063	best val: 125.2372744667219	time (s) spent in epoch: 411.01200580596924
epoch: 39	train ppl: 24.64306761507926	val ppl: 131.95898481703063	best val: 125.2372744667219	time (s) spent in epoch: 411.746693611145
