epoch: 0	train ppl: 737.7891570586336	val ppl: 336.8831763346504	best val: 336.8831763346504	time (s) spent in epoch: 84.27473974227905
epoch: 1	train ppl: 281.25112065302227	val ppl: 235.461616089281	best val: 235.461616089281	time (s) spent in epoch: 85.00772476196289
epoch: 2	train ppl: 209.14363143966236	val ppl: 198.3086163723719	best val: 198.3086163723719	time (s) spent in epoch: 84.95906114578247
epoch: 3	train ppl: 172.9553204755263	val ppl: 177.50027440460784	best val: 177.50027440460784	time (s) spent in epoch: 84.94474649429321
epoch: 4	train ppl: 149.78656541450047	val ppl: 163.70030738331528	best val: 163.70030738331528	time (s) spent in epoch: 84.92071771621704
epoch: 5	train ppl: 132.71229707320245	val ppl: 153.65178256603744	best val: 153.65178256603744	time (s) spent in epoch: 84.98733472824097
epoch: 6	train ppl: 119.39597478175607	val ppl: 145.9870363442613	best val: 145.9870363442613	time (s) spent in epoch: 84.95646119117737
epoch: 7	train ppl: 108.38328198681718	val ppl: 140.15360224382778	best val: 140.15360224382778	time (s) spent in epoch: 84.9776303768158
epoch: 8	train ppl: 99.19204840990673	val ppl: 135.7322787151046	best val: 135.7322787151046	time (s) spent in epoch: 84.90620040893555
epoch: 9	train ppl: 91.19498490397473	val ppl: 132.66366025790154	best val: 132.66366025790154	time (s) spent in epoch: 84.98289370536804
epoch: 10	train ppl: 84.30341801658031	val ppl: 130.01734747060635	best val: 130.01734747060635	time (s) spent in epoch: 85.00145983695984
epoch: 11	train ppl: 78.13288860789204	val ppl: 128.27885803219021	best val: 128.27885803219021	time (s) spent in epoch: 84.95835876464844
epoch: 12	train ppl: 72.71410739008826	val ppl: 127.35354927731643	best val: 127.35354927731643	time (s) spent in epoch: 84.96136236190796
epoch: 13	train ppl: 67.75921909193401	val ppl: 126.86715088068685	best val: 126.86715088068685	time (s) spent in epoch: 84.89915084838867
epoch: 14	train ppl: 63.452848123552045	val ppl: 126.85595980454016	best val: 126.85595980454016	time (s) spent in epoch: 84.9418568611145
epoch: 15	train ppl: 59.462012828282695	val ppl: 127.06897122675942	best val: 126.85595980454016	time (s) spent in epoch: 84.95042324066162
epoch: 16	train ppl: 55.74661302336692	val ppl: 128.24235350197475	best val: 126.85595980454016	time (s) spent in epoch: 84.95781302452087
epoch: 17	train ppl: 52.41241942978632	val ppl: 129.42147962187403	best val: 126.85595980454016	time (s) spent in epoch: 84.94201231002808
epoch: 18	train ppl: 49.36331589683564	val ppl: 130.98047286092515	best val: 126.85595980454016	time (s) spent in epoch: 85.02492260932922
epoch: 19	train ppl: 46.570124584987475	val ppl: 132.83772067832786	best val: 126.85595980454016	time (s) spent in epoch: 84.65591359138489
epoch: 20	train ppl: 43.961913589755085	val ppl: 135.433583229224	best val: 126.85595980454016	time (s) spent in epoch: 84.53239560127258
epoch: 21	train ppl: 41.451353255521504	val ppl: 137.8210699432615	best val: 126.85595980454016	time (s) spent in epoch: 84.44365930557251
epoch: 22	train ppl: 39.249874250295214	val ppl: 140.7027014435717	best val: 126.85595980454016	time (s) spent in epoch: 84.43158316612244
epoch: 23	train ppl: 37.11674363571479	val ppl: 143.6715602785362	best val: 126.85595980454016	time (s) spent in epoch: 84.87696695327759
epoch: 24	train ppl: 35.18266001453414	val ppl: 147.16115409096312	best val: 126.85595980454016	time (s) spent in epoch: 84.9980719089508
epoch: 25	train ppl: 33.35565464426338	val ppl: 150.11084185830111	best val: 126.85595980454016	time (s) spent in epoch: 84.5875551700592
epoch: 26	train ppl: 31.646821916864067	val ppl: 153.1800284723208	best val: 126.85595980454016	time (s) spent in epoch: 84.57548546791077
epoch: 27	train ppl: 30.005361441097122	val ppl: 156.58417969091414	best val: 126.85595980454016	time (s) spent in epoch: 84.53482866287231
epoch: 28	train ppl: 28.422526489684373	val ppl: 160.76724954432945	best val: 126.85595980454016	time (s) spent in epoch: 84.77037906646729
epoch: 29	train ppl: 27.028720270136546	val ppl: 164.49968266245187	best val: 126.85595980454016	time (s) spent in epoch: 85.03348112106323
epoch: 30	train ppl: 25.693128695643445	val ppl: 168.90851191792024	best val: 126.85595980454016	time (s) spent in epoch: 84.97879242897034
epoch: 31	train ppl: 24.396133505522393	val ppl: 173.28659869710827	best val: 126.85595980454016	time (s) spent in epoch: 85.0035810470581
epoch: 32	train ppl: 23.135337409477657	val ppl: 178.6963433044603	best val: 126.85595980454016	time (s) spent in epoch: 85.05469131469727
epoch: 33	train ppl: 22.076184133898803	val ppl: 184.43172573847323	best val: 126.85595980454016	time (s) spent in epoch: 84.93493342399597
epoch: 34	train ppl: 21.002204501475514	val ppl: 190.2393126724678	best val: 126.85595980454016	time (s) spent in epoch: 84.90866327285767
epoch: 35	train ppl: 20.010895526454632	val ppl: 197.24248136372321	best val: 126.85595980454016	time (s) spent in epoch: 84.94706296920776
epoch: 36	train ppl: 19.06279046120655	val ppl: 204.32183367862547	best val: 126.85595980454016	time (s) spent in epoch: 84.96347498893738
epoch: 37	train ppl: 18.203391888048287	val ppl: 211.32127529986866	best val: 126.85595980454016	time (s) spent in epoch: 84.93674635887146
epoch: 38	train ppl: 17.350731826583612	val ppl: 219.4810113526147	best val: 126.85595980454016	time (s) spent in epoch: 84.93760895729065
epoch: 39	train ppl: 16.554254441349862	val ppl: 227.7999790771385	best val: 126.85595980454016	time (s) spent in epoch: 84.35871052742004
